add-none,1,100,200,94149,470,0
add-none,1,1000,2000,162665,81,0
add-none,1,10000,20000,245031,12,0
add-none,1,100000,200000,1414910,7,0
add-none,2,100,400,142768,356,0
add-none,2,1000,4000,129377,32,0
add-none,2,10000,40000,2064031,51,-237
add-none,2,100000,400000,12822268,32,142
add-none,4,100,800,173456,216,0
add-none,4,1000,8000,441617,55,-158
add-none,4,10000,80000,3161435,39,321
add-none,4,100000,800000,69684527,87,235
add-none,8,100,1600,256704,160,0
add-none,8,1000,16000,1057591,66,-108
add-none,8,10000,160000,13310393,83,-1313
add-none,8,100000,1600000,128605844,80,-729
add-none,12,100,2400,356224,148,0
add-none,12,1000,24000,1739879,72,-298
add-none,12,10000,240000,12984217,54,-1464
add-none,12,100000,2400000,182085487,75,-36775
add-yield-none,2,10,40,137574,3439,0
add-yield-none,2,20,80,146681,1833,0
add-yield-none,2,40,160,145347,908,0
add-yield-none,2,80,320,156356,488,82
add-yield-none,2,100,400,158993,397,14
add-yield-none,2,1000,4000,800073,200,-576
add-yield-none,2,10000,40000,6865440,171,10
add-yield-none,2,100000,400000,43500533,108,-3597
add-yield-none,4,10,80,150002,1875,0
add-yield-none,4,20,160,1364596,8528,0
add-yield-none,4,80,640,210293,328,14
add-yield-none,4,100,800,200264,250,137
add-yield-none,4,1000,8000,1055072,131,-66
add-yield-none,4,10000,80000,9002819,112,4781
add-yield-none,4,100000,800000,60467217,75,11073
add-yield-none,8,10,160,324983,2031,-7
add-yield-none,8,20,320,334111,1044,0
add-yield-none,8,40,640,268773,419,48
add-yield-none,8,80,1280,286703,223,-11
add-yield-none,8,100,1600,347850,217,125
add-yield-none,8,1000,16000,1425726,89,586
add-yield-none,8,10000,160000,19754204,123,-3650
add-yield-none,8,100000,1600000,120867934,75,72984
add-yield-none,12,10,240,354609,1477,0
add-yield-none,12,20,480,410371,854,-7
add-yield-none,12,40,960,349185,363,-105
add-yield-none,12,80,1920,376142,195,107
add-yield-none,12,100,2400,424301,176,113
add-yield-none,12,1000,24000,1967535,81,1207
add-yield-none,12,10000,240000,18296906,76,1907
add-yield-none,12,100000,2400000,244896245,102,103332
add-none,1,10,20,107255,5362,0
add-none,1,20,40,104177,2604,0
add-none,1,40,80,94954,1186,0
add-none,1,80,160,85928,537,0
add-none,1,100,200,103809,519,0
add-none,1,1000,2000,110077,55,0
add-none,1,10000,20000,257567,12,0
add-none,1,100000,200000,1409981,7,0
add-yield-m,2,100,400,235156,587,-19
add-yield-m,2,1000,4000,1352915,338,-59
add-yield-m,2,10000,40000,13265625,331,6
add-yield-m,4,100,800,457006,571,53
add-yield-m,4,1000,8000,3617760,452,231
add-yield-m,4,10000,80000,40406249,505,480
add-yield-m,8,100,1600,1685086,1053,175
add-yield-m,8,1000,16000,10662859,666,1498
add-yield-m,8,10000,160000,102648179,641,-94
add-yield-m,12,100,2400,1845438,768,329
add-yield-m,12,1000,24000,13518580,563,957
add-yield-m,12,10000,240000,125930877,524,8835
add-yield-c,2,100,400,189148,472,-3
add-yield-c,2,1000,4000,839889,209,32
add-yield-c,2,10000,40000,7541572,188,121
add-yield-c,4,100,800,267198,333,232
add-yield-c,4,1000,8000,1421585,177,-312
add-yield-c,4,10000,80000,14095450,176,2991
add-yield-c,8,100,1600,638200,398,119
add-yield-c,8,1000,16000,2849488,178,485
add-yield-c,8,10000,160000,23851043,149,1488
add-yield-c,12,100,2400,705700,294,145
add-yield-c,12,1000,24000,5980222,249,419
add-yield-c,12,10000,240000,49393308,205,7411
add-yield-s,2,100,400,213374,533,1
add-yield-s,2,1000,4000,1395081,348,86
add-yield-s,4,100,800,479679,599,181
add-yield-s,4,1000,8000,4564897,570,177
add-yield-s,8,100,1600,1323235,827,268
add-yield-s,8,1000,16000,12613531,788,101
add-yield-s,12,100,2400,1905269,793,316
add-yield-s,12,1000,24000,22815797,950,1932
add-m,1,10000,20000,749260,37,0
add-m,2,10000,40000,6640571,166,685
add-m,4,10000,80000,7256447,90,11386
add-m,8,10000,160000,16262295,101,2077
add-m,12,10000,240000,23217484,96,26566
add-s,1,10000,20000,367003,18,0
add-s,2,10000,40000,6669006,166,-2380
add-s,4,10000,80000,9031906,112,55
add-s,8,10000,160000,60255472,376,14865
add-s,12,10000,240000,117612362,490,17791
add-c,1,10000,20000,481271,24,0
add-c,2,10000,40000,3917940,97,-2465
add-c,4,10000,80000,11341200,141,4571
add-c,8,10000,160000,21510107,134,11870
add-c,12,10000,240000,23148302,96,6654
